Product name,Original Price,Discount,Price After Discount,Ratings
"Redmi 6A (Black, 32 GB)  (2 GB RAM)","₹7,999",12% off,"₹6,999",4.3
"Mi 11X (Cosmic Black, 128 GB)  (6 GB RAM)","₹33,999",35% off,"₹21,888",4.2
"Redmi Note 8 (Moonlight White, 64 GB)  (4 GB RAM)",N/A,55% off,"₹12,999",4.4
"Redmi 6 Pro (Lake Blue, 32 GB)  (3 GB RAM)",N/A,N/A,"₹8,990",4.3
"Redmi Note 7 Pro (Nebula Red, 64 GB)  (4 GB RAM)","₹15,999",40% off,"₹9,499",4.5
"Redmi Y1 (Gold, 64 GB)  (4 GB RAM)",N/A,N/A,"₹10,999",4.1
"Redmi Y1 (Gold, 32 GB)  (3 GB RAM)",N/A,N/A,"₹8,999",4.3
"Mi 10i (Midnight Black, 128 GB)  (8 GB RAM)","₹24,999",32% off,"₹16,999",4.3
"Mi A2 (Red, 128 GB)  (6 GB RAM)",N/A,20% off,"₹20,500",4.1
"Redmi 6A (Blue, 32 GB)  (2 GB RAM)","₹8,000",25% off,"₹5,990",4.3
"Redmi 7A (Matte Gold, 16 GB)  (2 GB RAM)",N/A,64% off,"₹6,499",4.3
"Xiaomi 12 Pro 5G (Opera Mauve, 256 GB)  (12 GB RAM)","₹84,999",44% off,"₹46,990",4.1
"Redmi Y2 (Rose Gold, 32 GB)  (3 GB RAM)",N/A,N/A,"₹10,499",4.5
"Redmi Y2 (Dark Grey, 32 GB)  (3 GB RAM)",N/A,62% off,"₹10,499",4.5
"Redmi 6 Pro (Black, 64 GB)  (4 GB RAM)","₹13,499",25% off,"₹9,999",4.3
"Redmi 6 Pro (Gold, 32 GB)  (3 GB RAM)",N/A,N/A,"₹8,990",4.3
"Redmi 6 Pro (Rose Gold, 32 GB)  (3 GB RAM)",N/A,N/A,"₹11,499",4.3
"Redmi 6 Pro (Red, 32 GB)  (3 GB RAM)",N/A,N/A,"₹10,799",4.3
"Redmi K20 (Pearl White, 128 GB)  (6 GB RAM)",N/A,23% off,"₹24,999",4.5
"Redmi 3S (Silver, 16 GB)  (2 GB RAM)",N/A,64% off,"₹6,999",4.3
"Redmi Y1 (Rose Gold, 32 GB)  (3 GB RAM)",N/A,N/A,"₹8,500",4.3
"Redmi 6 Pro (Gold, 64 GB)  (4 GB RAM)","₹13,499",25% off,"₹9,999",4.3
"Redmi Note 11S (Space Black, 128 GB)  (8 GB RAM)","₹21,999",31% off,"₹14,973",4.2
